               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12746,            0.041659,                   0,           0.0016667,            0.018519,           0.0010089,          0.00010089,             0.13251,            0.039544,                   0,              0.0991,              0.0001,              0.0001
                   1,              0.1271,            0.035905,                   0,                   0,                   0,                   0,                   0,             0.13141,            0.040343,                   0,            0.097297,           0.0002973,           0.0002973
                   2,             0.12606,            0.043059,                   0,               0.005,            0.055556,            0.002721,           0.0002721,             0.12957,            0.041805,                   0,            0.095491,            0.000491,            0.000491
                   3,             0.12584,            0.035541,                   0,           0.0083333,            0.092593,           0.0047049,           0.0010061,             0.12686,            0.043782,                   0,            0.093681,           0.0006811,           0.0006811
                   4,             0.12444,            0.039871,                   0,           0.0083333,            0.092593,           0.0047895,           0.0018545,             0.12375,            0.046011,                   0,            0.091868,           0.0008676,           0.0008676
                   5,             0.12494,            0.036202,                   0,           0.0083333,            0.092593,           0.0048603,           0.0021519,             0.12076,            0.048198,                   0,            0.090051,           0.0010505,           0.0010505
                   6,             0.12275,            0.038841,                   0,           0.0077778,             0.12963,           0.0049216,           0.0016648,             0.11728,            0.050472,                   0,             0.08823,           0.0012298,           0.0012298
                   7,             0.11888,            0.045625,                   0,           0.0077778,             0.12963,           0.0053472,           0.0015647,              0.1145,            0.053067,                   0,            0.086406,           0.0014055,           0.0014055
                   8,             0.11937,             0.03843,                   0,           0.0077778,             0.12963,           0.0057176,           0.0020416,             0.11162,            0.055859,                   0,            0.084578,           0.0015776,           0.0015776
                   9,             0.11723,            0.044648,                   0,           0.0066667,             0.11111,           0.0052819,           0.0020915,             0.10918,            0.057995,                   0,            0.082746,           0.0017461,           0.0017461
                  10,             0.11495,            0.047398,                   0,           0.0066667,             0.14815,           0.0062009,           0.0020279,             0.10652,            0.060206,                   0,            0.080911,            0.001911,            0.001911
                  11,             0.11149,            0.049682,                   0,           0.0066667,             0.14815,           0.0064209,           0.0017111,             0.10391,            0.062837,                   0,            0.079072,           0.0020723,           0.0020723
                  12,               0.118,            0.031855,                   0,              0.0075,             0.16667,           0.0077404,           0.0021051,              0.1015,            0.065467,                   0,             0.07723,             0.00223,             0.00223
                  13,             0.10797,            0.052307,                   0,            0.010667,              0.2963,            0.017888,           0.0047109,            0.099992,            0.065862,                   0,            0.075384,           0.0023841,           0.0023841
                  14,             0.10462,            0.043003,                   0,            0.014667,             0.40741,            0.030947,           0.0065672,            0.098818,            0.065789,                   0,            0.073535,           0.0025346,           0.0025346
                  15,             0.10657,            0.050369,                   0,            0.045303,             0.35185,            0.080886,            0.015017,            0.096836,            0.065669,                   0,            0.071682,           0.0026815,           0.0026815
                  16,             0.10335,            0.047138,                   0,            0.016149,             0.44444,            0.042835,           0.0091282,            0.098008,            0.064272,                   0,            0.069825,           0.0028248,           0.0028248
                  17,              0.1009,            0.052288,                   0,            0.021131,             0.53704,            0.049572,            0.011806,            0.094692,             0.06651,                   0,            0.067965,           0.0029645,           0.0029645
                  18,            0.099822,            0.048605,                   0,            0.021333,             0.59259,            0.048781,            0.011823,            0.094212,            0.065229,                   0,            0.066101,           0.0031006,           0.0031006
                  19,            0.098647,            0.043627,                   0,             0.17469,              0.2037,             0.12171,            0.022039,            0.090358,            0.065372,                   0,            0.064233,           0.0032331,           0.0032331
                  20,             0.10161,            0.047133,                   0,            0.086212,             0.34596,            0.065536,            0.016687,            0.093089,            0.063676,                   0,            0.062362,            0.003362,            0.003362
                  21,            0.096931,            0.048899,                   0,              0.2553,             0.24074,             0.15049,            0.053136,             0.08974,            0.063308,                   0,            0.060487,           0.0034873,           0.0034873
                  22,            0.096255,            0.051377,                   0,             0.11205,              0.2037,            0.063819,             0.01485,            0.094301,            0.061908,                   0,            0.058609,            0.003609,            0.003609
                  23,             0.09591,            0.064077,                   0,            0.075833,             0.14815,            0.038626,             0.01024,            0.094754,            0.060409,                   0,            0.056727,           0.0037271,           0.0037271
                  24,            0.096287,            0.055067,                   0,             0.12121,             0.11757,            0.052431,            0.012591,            0.091011,            0.062692,                   0,            0.054842,           0.0038416,           0.0038416
                  25,            0.094107,            0.049935,                   0,             0.11056,            0.092593,            0.044672,            0.012519,            0.091131,            0.061793,                   0,            0.052953,           0.0039525,           0.0039525
                  26,            0.092892,            0.047051,                   0,             0.14373,             0.14815,            0.050931,            0.013289,            0.084539,            0.064927,                   0,             0.05106,           0.0040598,           0.0040598
                  27,            0.089202,             0.04195,                   0,            0.099295,            0.055556,            0.032788,            0.010468,            0.091204,            0.061857,                   0,            0.049163,           0.0041635,           0.0041635
                  28,            0.090558,            0.047696,                   0,              0.1426,            0.074074,            0.033674,            0.010368,            0.084264,            0.063561,                   0,            0.047264,           0.0042636,           0.0042636
                  29,            0.083502,            0.054803,                   0,            0.063282,              0.2037,            0.033992,            0.015098,            0.090124,             0.06065,                   0,             0.04536,           0.0043601,           0.0043601
                  30,            0.080397,            0.041969,                   0,            0.062317,             0.18519,            0.029477,            0.010467,            0.083811,            0.063429,                   0,            0.043453,            0.004453,            0.004453
                  31,            0.081236,            0.046963,                   0,            0.090585,             0.16667,              0.0433,            0.013379,            0.088455,            0.062203,                   0,            0.041542,           0.0045423,           0.0045423
                  32,            0.080193,            0.053579,                   0,             0.17147,             0.25926,            0.090939,            0.035234,            0.081689,            0.062548,                   0,            0.039628,            0.004628,            0.004628
                  33,            0.080121,            0.056038,                   0,              0.2081,              0.2963,             0.10146,             0.03339,            0.087167,            0.063651,                   0,             0.03771,           0.0047101,           0.0047101
                  34,            0.083015,             0.04787,                   0,             0.40815,              0.2037,             0.16775,            0.071263,            0.079286,              0.0641,                   0,            0.035789,           0.0047886,           0.0047886
                  35,            0.076247,             0.04619,                   0,             0.21754,             0.38617,             0.16073,            0.039783,            0.086105,             0.06664,                   0,            0.033863,           0.0048635,           0.0048635
                  36,            0.080465,            0.048183,                   0,             0.31937,             0.46296,             0.26499,            0.077163,            0.078853,            0.064703,                   0,            0.031935,           0.0049348,           0.0049348
                  37,            0.074772,            0.042706,                   0,             0.21501,             0.44444,             0.19868,            0.054166,             0.08258,            0.066936,                   0,            0.030003,           0.0050025,           0.0050025
                  38,            0.081521,            0.046664,                   0,             0.26372,             0.61111,             0.27104,              0.1016,            0.077133,            0.064623,                   0,            0.028067,           0.0050666,           0.0050666
                  39,            0.084165,            0.052355,                   0,             0.24154,             0.48148,             0.21934,            0.072541,            0.083167,            0.066119,                   0,            0.026127,           0.0051271,           0.0051271
                  40,            0.077359,            0.044038,                   0,             0.33497,             0.57407,             0.36514,             0.10618,            0.073167,            0.065349,                   0,            0.024184,            0.005184,            0.005184
                  41,            0.073357,            0.040313,                   0,              0.2239,             0.44444,             0.18058,            0.046289,             0.08183,            0.062564,                   0,            0.022237,           0.0052373,           0.0052373
                  42,            0.077485,            0.038406,                   0,             0.29648,             0.48148,             0.29439,             0.10583,            0.073241,            0.060879,                   0,            0.020287,            0.005287,            0.005287
                  43,            0.075582,            0.061323,                   0,             0.31517,                 0.5,             0.31577,             0.10085,            0.078343,            0.062206,                   0,            0.018333,           0.0053331,           0.0053331
                  44,            0.065325,            0.037023,                   0,             0.33248,             0.44276,             0.28607,            0.098145,            0.071613,            0.064672,                   0,            0.016376,           0.0053756,           0.0053756
                  45,            0.076936,              0.0385,                   0,             0.32748,             0.46296,             0.31168,             0.11364,             0.07834,            0.058504,                   0,            0.014414,           0.0054145,           0.0054145
                  46,            0.071621,            0.044536,                   0,             0.49282,             0.46296,             0.41805,             0.14498,            0.069973,            0.059844,                   0,             0.01245,           0.0054498,           0.0054498
                  47,             0.07036,            0.034765,                   0,             0.31597,             0.51852,             0.32152,             0.11294,            0.076154,            0.057632,                   0,            0.010482,           0.0054815,           0.0054815
                  48,            0.067349,            0.040572,                   0,             0.44938,             0.51852,             0.45773,             0.16663,            0.069864,            0.057304,                   0,           0.0085096,           0.0055096,           0.0055096
                  49,            0.068145,            0.035618,                   0,             0.32049,             0.51535,             0.36133,             0.12094,            0.073591,            0.054686,                   0,           0.0065341,           0.0055341,           0.0055341
                  50,            0.070843,            0.048533,                   0,             0.34001,             0.53704,             0.41986,             0.11925,            0.071348,            0.055975,                   0,              0.0055,              0.0055,              0.0055
                  51,            0.062213,            0.038506,                   0,             0.27807,             0.51852,             0.27296,            0.090421,            0.075036,            0.058795,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.072508,            0.042993,                   0,             0.52863,             0.46296,             0.49912,             0.16488,            0.065511,            0.057517,                   0,             0.00541,             0.00541,             0.00541
                  53,            0.063016,            0.042388,                   0,             0.27168,             0.38889,             0.25586,            0.083425,            0.073373,            0.058717,                   0,             0.00532,             0.00532,             0.00532
                  54,            0.066961,            0.035912,                   0,             0.55885,             0.48148,             0.54746,             0.22824,            0.065572,            0.053661,                   0,             0.00523,             0.00523,             0.00523
                  55,            0.067809,            0.049476,                   0,             0.30575,                 0.5,             0.38079,              0.1282,             0.06988,            0.054757,                   0,             0.00514,             0.00514,             0.00514
                  56,            0.058753,            0.032693,                   0,             0.45276,                 0.5,             0.48257,             0.16325,            0.064641,            0.053016,                   0,             0.00505,             0.00505,             0.00505
                  57,            0.066274,            0.037333,                   0,             0.37767,             0.51852,             0.45855,             0.19617,            0.064661,            0.050757,                   0,             0.00496,             0.00496,             0.00496
                  58,            0.061199,            0.038166,                   0,             0.39356,             0.53704,             0.43471,             0.17779,            0.068126,            0.049161,                   0,             0.00487,             0.00487,             0.00487
                  59,            0.065306,             0.03496,                   0,             0.43702,             0.51852,             0.46736,             0.18206,            0.061886,            0.050518,                   0,             0.00478,             0.00478,             0.00478
                  60,            0.057533,             0.04672,                   0,             0.37671,                 0.5,             0.37905,             0.13082,            0.067852,            0.051675,                   0,             0.00469,             0.00469,             0.00469
                  61,             0.06168,            0.026881,                   0,             0.47974,             0.64815,             0.58899,             0.23857,            0.061646,            0.049682,                   0,              0.0046,              0.0046,              0.0046
                  62,             0.06175,            0.039507,                   0,              0.3497,             0.66667,             0.38382,             0.14707,            0.067392,            0.049296,                   0,             0.00451,             0.00451,             0.00451
                  63,             0.06032,            0.039895,                   0,             0.57774,             0.62963,             0.63534,             0.26335,            0.059261,            0.050411,                   0,             0.00442,             0.00442,             0.00442
                  64,            0.057674,            0.043656,                   0,             0.49044,             0.44444,             0.48028,             0.18566,            0.067562,            0.048203,                   0,             0.00433,             0.00433,             0.00433
                  65,            0.062109,            0.036124,                   0,             0.72104,             0.48148,             0.60836,             0.22371,            0.058184,              0.0506,                   0,             0.00424,             0.00424,             0.00424
                  66,            0.058522,            0.037417,                   0,             0.46043,             0.55556,             0.47479,             0.20786,             0.06327,            0.048196,                   0,             0.00415,             0.00415,             0.00415
                  67,            0.061372,            0.026943,                   0,             0.75948,                 0.5,             0.62637,             0.25567,            0.056448,             0.04967,                   0,             0.00406,             0.00406,             0.00406
                  68,            0.057117,            0.036194,                   0,             0.53801,             0.55556,             0.53897,              0.2273,            0.060413,            0.048254,                   0,             0.00397,             0.00397,             0.00397
                  69,            0.058535,            0.037357,                   0,             0.59954,             0.66541,             0.66816,             0.26746,            0.058517,            0.048873,                   0,             0.00388,             0.00388,             0.00388
                  70,            0.058187,            0.033915,                   0,             0.47247,             0.61111,             0.48864,             0.21487,            0.057864,            0.048776,                   0,             0.00379,             0.00379,             0.00379
                  71,            0.053702,            0.030637,                   0,             0.71158,             0.59259,             0.66512,              0.2791,            0.058948,            0.048748,                   0,              0.0037,              0.0037,              0.0037
                  72,            0.059209,            0.034176,                   0,             0.66088,             0.61111,             0.67014,             0.32018,             0.05682,            0.047818,                   0,             0.00361,             0.00361,             0.00361
                  73,            0.053698,            0.042233,                   0,              0.6463,             0.62963,             0.66629,              0.2994,            0.056867,            0.048192,                   0,             0.00352,             0.00352,             0.00352
                  74,            0.052913,            0.034662,                   0,             0.58131,             0.62963,              0.6104,             0.27587,            0.056592,            0.048576,                   0,             0.00343,             0.00343,             0.00343
                  75,            0.051693,            0.043197,                   0,             0.51684,              0.5943,             0.58463,              0.2383,             0.05818,            0.048326,                   0,             0.00334,             0.00334,             0.00334
                  76,            0.057745,            0.030285,                   0,             0.65085,             0.66667,             0.65234,             0.29934,            0.057756,            0.046937,                   0,             0.00325,             0.00325,             0.00325
                  77,            0.056341,            0.038154,                   0,             0.69513,             0.66667,              0.6924,             0.31536,            0.054745,            0.046617,                   0,             0.00316,             0.00316,             0.00316
                  78,            0.056826,            0.035519,                   0,             0.74795,             0.66667,              0.6989,             0.33132,            0.055877,            0.045844,                   0,             0.00307,             0.00307,             0.00307
                  79,            0.050397,            0.037897,                   0,             0.77181,             0.66667,             0.74986,             0.33392,            0.053874,            0.046141,                   0,             0.00298,             0.00298,             0.00298
                  80,            0.058681,             0.03611,                   0,             0.84057,             0.58591,             0.69533,             0.33498,            0.054652,            0.045792,                   0,             0.00289,             0.00289,             0.00289
                  81,             0.05203,            0.041379,                   0,             0.74835,             0.68519,             0.75629,             0.34809,             0.05302,            0.045825,                   0,              0.0028,              0.0028,              0.0028
                  82,             0.05171,             0.03234,                   0,             0.70168,             0.72222,             0.74342,             0.36603,            0.054143,            0.045188,                   0,             0.00271,             0.00271,             0.00271
                  83,            0.053842,            0.042422,                   0,             0.88253,             0.55652,             0.73472,              0.3418,            0.052888,             0.04552,                   0,             0.00262,             0.00262,             0.00262
                  84,            0.055811,            0.040917,                   0,             0.77887,             0.66667,             0.75344,             0.39241,            0.052851,            0.045442,                   0,             0.00253,             0.00253,             0.00253
                  85,            0.049174,            0.035479,                   0,             0.77714,             0.64815,             0.73952,             0.31736,            0.054898,            0.045622,                   0,             0.00244,             0.00244,             0.00244
                  86,            0.050554,            0.035641,                   0,             0.81373,             0.64815,             0.73775,             0.36646,            0.052875,            0.046044,                   0,             0.00235,             0.00235,             0.00235
                  87,            0.045866,            0.034006,                   0,             0.65868,              0.7037,             0.72171,             0.32679,            0.053094,            0.046926,                   0,             0.00226,             0.00226,             0.00226
                  88,            0.050661,            0.040559,                   0,             0.84483,             0.60505,             0.72399,             0.34313,            0.053126,             0.04677,                   0,             0.00217,             0.00217,             0.00217
                  89,            0.049909,            0.037074,                   0,             0.76938,             0.61111,             0.74079,             0.31975,            0.052889,             0.04787,                   0,             0.00208,             0.00208,             0.00208
                  90,            0.048109,            0.031395,                   0,             0.80238,             0.57407,             0.72786,             0.34137,            0.052391,            0.048191,                   0,             0.00199,             0.00199,             0.00199
                  91,            0.050115,            0.034716,                   0,             0.63231,             0.68519,             0.70571,             0.28985,            0.052705,            0.049239,                   0,              0.0019,              0.0019,              0.0019
                  92,            0.048572,            0.035667,                   0,             0.67487,             0.64815,             0.71234,             0.31397,            0.051346,            0.049827,                   0,             0.00181,             0.00181,             0.00181
                  93,            0.050353,            0.031601,                   0,             0.88776,             0.57407,             0.74644,              0.3483,            0.051799,            0.049013,                   0,             0.00172,             0.00172,             0.00172
                  94,            0.048455,            0.037472,                   0,             0.67261,             0.68483,              0.7015,             0.33407,            0.053128,            0.047888,                   0,             0.00163,             0.00163,             0.00163
                  95,            0.047807,            0.036596,                   0,             0.70185,             0.74074,             0.72921,             0.34765,            0.051109,            0.048217,                   0,             0.00154,             0.00154,             0.00154
                  96,            0.049092,            0.041667,                   0,             0.69614,             0.74074,             0.71332,             0.32402,            0.052033,            0.047663,                   0,             0.00145,             0.00145,             0.00145
                  97,            0.049028,            0.037349,                   0,             0.76664,             0.73012,             0.74317,             0.32093,            0.051333,            0.047657,                   0,             0.00136,             0.00136,             0.00136
                  98,            0.043839,            0.034752,                   0,             0.71623,             0.74074,             0.73576,             0.33563,             0.05172,            0.046812,                   0,             0.00127,             0.00127,             0.00127
                  99,            0.047749,            0.031929,                   0,             0.72223,             0.72222,             0.74028,             0.33119,            0.051523,            0.046289,                   0,             0.00118,             0.00118,             0.00118
